Nation,Region,Recognition,Address,Website
Cocopah Tribe of Arizona,Western,Federal,"County 15th & Avenue G, Somerton, AZ85350",http://www.cocopah.com
Coeur d'Alene Tribe,Northwest,Federal,"PO Box 408, Plummer, ID83851-0408",http://www.cdatribe-nsn.gov
"Coharie Intra-Tribal Council, Inc.",Southeast,State,"7531 N US 421 Hwy, Clinton, NC28328-7971",http://www.coharietribe.org
Cold Springs Rancheria,Pacific,Federal,"PO Box 209, Tollhouse, CA93667-0209",
Colorado River Indian Tribe,Western,Federal,"26600 Mohave Road, Parker, AZ85344-7737",http://www.crit-nsn.gov
Comanche Nation,Southern Plains,Federal,"584 NW Bingo Road, Lawton, OK73507",http://www.comanchenation.com
Confederated Salish & Kootenai Tribes of the Flathead Nation,Northwest,Federal,"PO Box 278, Pablo, MT59855-0278",http://www.cskt.org
Confederated Tribes and Bands of the Yakama Nation,Northwest,Federal,"PO Box 151, Toppenish, WA98948-0151",http://www.yakamanation-nsn.gov
Confederated Tribes of Chehalis Reservation,Northwest,Federal,"PO Box 536, Oakville, WA98568-0536",http://www.chehalistribe.org
Confederated Tribes of Colville Reservation,Northwest,Federal,"PO Box 150, Nespelem, WA99155-0150",http://www.colvilletribes.com
"Confederated Tribes of Coos, Lower Umpqua and Siuslaw Indians",Northwest,Federal,"1245 Fulton Avenue, Coos Bay, OR97420-2895",http://www.ctclusi.org
Confederated Tribes of Grand Ronde Community of Oregon,Northwest,Federal,"9615 Grand Ronde Road, Grand Ronde, OR97347-9712",http://www.grandronde.org
Confederated Tribes of Siletz Reservation,Northwest,Federal,"PO Box 549, Siletz, OR97380-0549",http://www.ctsi.nsn.us
Confederated Tribes of the Goshute Reservation,Western,Federal,"PO Box 6104, Ibapah, UT84034",http://www.goshutetribe.com
Confederated Tribes of the Umatilla Indian Reservation,Northwest,Federal,"46411 Timine Way, Pendleton, OR97801-9467",http://www.umatilla.nsn.us
Confederated Tribes of Warm Springs Reservation of Oregon,Northwest,Federal,"PO Box C/1233 Veteran's Street, Warm Springs, OR97761-3001",http://warmsprings-nsn.gov/
Coquille Tribe,Northwest,Federal,"3050 Tremont Street, North Bend, OR97459-3059",http://www.coquilletribe.org
Cortina Band of Wintun Indians,Pacific,Federal,"PO Box 1630, Williams, CA95987-1630",
Coushatta Indian Tribe of Louisiana,Southeast,Federal,"PO Box 10, Elton, LA70532-0818",http://www.koasatiheritage.org
Cow Creek Band of Umpqua Tribe of Indians,Northwest,Federal,"2371 NE Stephens Street,  Suite 100, Roseburg, OR97470-1338",http://www.cowcreek.com
Cowlitz Indian Tribe,Northwest,Federal,"PO Box 2547, Longview, WA98632-8594",http://www.cowlitz.org
Coyote Valley Band of Pomo Indians,Pacific,Federal,"PO Box 39, Redwood Valley, CA95470-0039",http://coyotevalleytribe.org
Craig Community Association (IRA),Alaska,Federal,"PO Box 828, Craig, AK99921-0828",http://www.craigtribe.org
